Especie;Familia;Nombre común;Genero;Diámetro;Altura;Copa;Riego;Unidades;Código vía
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2;0.5;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;2.6;1.5;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;2.6;2;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;2.5;0.7;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;2.4;0.8;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;2.3;0.9;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;2.7;0.8;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;2.7;0.8;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;3;1.3;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;2.3;0.5;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.2;0.5;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;3;0.8;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;3;1;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;2.7;0.8;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;2.7;1;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.4;0.6;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;3;1;ASPERSION;1;4018
